afo-postgres  | 
afo-postgres  | PostgreSQL Database directory appears to contain a database; Skipping initialization
afo-postgres  | 
afo-postgres  | 2025-12-25 17:54:00.089 UTC [1] LOG:  starting PostgreSQL 15.15 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
afo-postgres  | 2025-12-25 17:54:00.089 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
afo-postgres  | 2025-12-25 17:54:00.089 UTC [1] LOG:  listening on IPv6 address "::", port 5432
afo-postgres  | 2025-12-25 17:54:00.090 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
afo-postgres  | 2025-12-25 17:54:00.092 UTC [30] LOG:  database system was shut down at 2025-12-25 17:53:59 UTC
afo-postgres  | 2025-12-25 17:54:00.094 UTC [1] LOG:  database system is ready to accept connections
afo-postgres  | 2025-12-25 17:55:20.333 UTC [60] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-25 17:55:20.333 UTC [60] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-25 17:55:50.333 UTC [69] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-25 17:55:50.333 UTC [69] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-25 17:55:59.991 UTC [70] FATAL:  database "afo" does not exist
afo-postgres  | 2025-12-25 17:56:20.484 UTC [81] FATAL:  database "afo" does not exist
afo-postgres  | 2025-12-25 17:59:00.129 UTC [28] LOG:  checkpoint starting: time
afo-postgres  | 2025-12-25 17:59:00.144 UTC [28] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.002 s, total=0.016 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB
afo-postgres  | 2025-12-25 22:22:05.263 UTC [28] LOG:  checkpoint starting: time
afo-postgres  | 2025-12-25 22:22:11.225 UTC [28] LOG:  checkpoint complete: wrote 48 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.005 s, sync=0.008 s, total=5.973 s; sync files=38, longest=0.006 s, average=0.001 s; distance=149 kB, estimate=149 kB
afo-postgres  | 2025-12-25 22:27:05.361 UTC [28] LOG:  checkpoint starting: time
afo-postgres  | 2025-12-25 22:27:05.736 UTC [28] LOG:  checkpoint complete: wrote 4 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.352 s, sync=0.004 s, total=0.377 s; sync files=4, longest=0.003 s, average=0.001 s; distance=0 kB, estimate=135 kB
afo-postgres  | 2025-12-26 00:16:51.111 UTC [5319] LOG:  could not receive data from client: Connection reset by peer
afo-postgres  | 2025-12-26 04:47:56.917 UTC [10108] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:47:56.917 UTC [10108] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:48:02.868 UTC [10116] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:48:02.868 UTC [10116] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:48:11.133 UTC [10117] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:48:11.133 UTC [10117] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:48:19.410 UTC [10119] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:48:19.410 UTC [10119] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:48:24.480 UTC [10120] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:48:24.480 UTC [10120] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:48:27.926 UTC [10128] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:48:27.926 UTC [10128] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:48:37.213 UTC [10130] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:48:37.213 UTC [10130] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:48:45.493 UTC [10131] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:48:45.493 UTC [10131] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:48:53.751 UTC [10132] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:48:53.751 UTC [10132] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:49:00.903 UTC [10141] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:49:00.903 UTC [10141] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:49:09.169 UTC [10142] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:49:09.169 UTC [10142] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:49:17.433 UTC [10144] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:49:17.433 UTC [10144] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
afo-postgres  | 2025-12-26 04:49:25.692 UTC [10145] FATAL:  password authentication failed for user "afo"
afo-postgres  | 2025-12-26 04:49:25.692 UTC [10145] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
